                                                                                               16 Feb 2012 12:53:33
Aircraft-Aircraft1:  ECF Position & Velocity


       Time (UTCG)             x (km)         y (km)          z (km)      vx (km/sec)    vy (km/sec)    vz (km/sec)
------------------------    -----------    ------------    -----------    -----------    -----------    -----------
16 Feb 2012 17:00:00.000    1112.305671    -4768.000721    4078.774342       0.064113      -0.018443      -0.038782
16 Feb 2012 17:11:16.675    1155.651887    -4780.321097    4052.394203       0.035475       0.049247       0.047655
16 Feb 2012 17:19:58.459    1174.138646    -4754.529768    4077.178889      -0.071056       0.007594       0.029122
16 Feb 2012 17:25:55.606    1148.750387    -4751.773236    4087.541595      -0.072353       0.005286       0.026302
16 Feb 2012 17:29:58.386    1131.179556    -4750.469357    4093.909546      -0.073213      -0.023394      -0.006870
16 Feb 2012 17:33:47.714    1114.385329    -4755.816065    4092.318209      -0.073374      -0.022951      -0.006647
16 Feb 2012 17:41:36.842    1079.945654    -4766.506426    4089.134234       0.016460      -0.047107      -0.058861
16 Feb 2012 17:46:20.897    1084.614967    -4779.859415    4072.389939       0.049272      -0.031826      -0.050140
16 Feb 2012 17:50:35.582    1097.158721    -4787.942487    4059.600418       0.049232      -0.031648      -0.050293
